id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,language
1,ら・ら・ら,Maki Ohguro,pop,hype,0.9,121,0.83,0.58,0.01,37,2000s,en
2,say goodbye,Sarcastic Sounds,lofi,chill,0.41,92,0.42,0.71,0.9,63,2010s,en
3,Vilayaadu Mankatha,Yuvan Shankar Raja,pop,dark,0.64,98,0.22,0.81,0.12,48,2000s,en
4,summertime,$affie,lofi,melancholic,0.18,148,0.23,0.74,0.81,39,2000s,en
5,dimple,BTS,pop,energetic,0.84,135,0.65,0.61,0.14,72,2020s,en
6,NINI,6ix9ine,alt-rock,happy,0.65,98,0.73,0.87,0.11,48,2000s,en
7,We Wish You a Merry Christmas,Timothy Infinite,lofi,moody,0.58,132,0.34,0.71,0.69,27,1990s,en
8,Everybody Loves Somebody,Dean Martin,jazz,chill,0.39,119,0.46,0.37,0.85,68,2010s,en
9,A Dying God Coming into Human Flesh,Celtic Frost,rock,melancholic,0.33,102,0.08,0.15,0.01,47,2000s,en
10,Pass Slowly,Seether,alt-rock,dark,0.7,147,0.24,0.45,0.0,46,2000s,en
11,Coastal,Luc Delvaux,lofi,energetic,0.69,140,0.62,0.88,0.3,27,1990s,en
12,Judas,Fozzy,rock,intense,0.91,99,0.47,0.42,0.0,62,2010s,en
13,Vossa Excelência,Titãs,rock,intense,0.94,174,0.41,0.25,0.13,37,2000s,en
14,Heart (Original Version),Masaharu Fukuyama,rock,energetic,0.84,97,0.69,0.59,0.28,34,2000s,en
15,Yötä vasten,Kotiteollisuus,rock,intense,0.86,123,0.45,0.52,0.0,19,1990s,en
16,Lady Madonna - Remastered 2015,The Beatles,rock,energetic,0.78,110,0.57,0.65,0.14,58,2010s,en
17,Love Pain,Skinny Atlas,lofi,chill,0.36,94,0.47,0.79,0.03,52,2010s,en
18,Out of Sight,Gutter Demons,rock,hype,0.93,143,0.86,0.46,0.21,24,1990s,en
19,Monster,Reckless Love,rock,intense,0.82,109,0.47,0.59,0.0,53,2010s,en
20,Monsters,Currents,rock,dark,0.98,101,0.17,0.47,0.0,53,2010s,en
21,Estranged,Guns N' Roses,rock,dark,0.76,89,0.17,0.36,0.01,67,2010s,en
22,Bad At Love,Halsey,indie pop,energetic,0.75,118,0.61,0.68,0.06,74,2020s,en
23,"Life of Pandu (From ""Thiru"")",Dinker kalvala,indie pop,energetic,0.66,175,0.55,0.49,0.13,57,2010s,en
24,Soy Yo,Bomba Estéreo,synthwave,happy,0.58,117,0.79,0.89,0.04,61,2010s,en
25,Leave Out All The Rest - One More Light Live,Linkin Park,alt-rock,dark,0.69,160,0.28,0.41,0.0,46,2000s,en
26,Who (feat. BTS),Lauv,pop,melancholic,0.34,142,0.1,0.63,0.55,76,2020s,en
27,夢想號黃包車,Jenny Tseng,pop,happy,0.54,101,0.78,0.72,0.54,24,1990s,en
28,Tortured Sacrament,Vomit Forth,rock,dark,0.92,103,0.13,0.24,0.0,21,1990s,en
29,Claude's Girl,Marika Hackman,ambient,melancholic,0.06,141,0.23,0.44,0.96,55,2010s,en
30,遥か彼方,ASIAN KUNG-FU GENERATION,rock,dark,0.95,175,0.24,0.31,0.0,64,2010s,en
31,Yolla Yarim,Barış Manço,rock,happy,0.64,102,0.84,0.75,0.6,34,2000s,en
32,Intro,Traitors,rock,dark,0.88,95,0.12,0.58,0.0,22,1990s,en
33,Désenchantée,Mylène Farmer,pop,moody,0.66,126,0.34,0.61,0.0,34,2000s,en
34,Stylin',Sainte,lofi,chill,0.44,129,0.54,0.64,0.64,65,2010s,en
35,"護航 - (劇集 ""西遊記"" 片尾曲)",Alfred Hui,pop,moody,0.58,140,0.34,0.52,0.63,21,1990s,en
36,PERCAYA,Damero.,alt-rock,nostalgic,0.57,135,0.61,0.84,0.75,35,2000s,en
37,Alone Again Or - 2015 Remaster,Love,rock,melancholic,0.3,174,0.23,0.32,0.66,57,2010s,en
38,Dreams in Green,Justnormal,lofi,romantic,0.42,85,0.64,0.71,0.71,33,2000s,en
39,You'll Never Walk Alone,Gerry & The Pacemakers,rock,melancholic,0.36,113,0.22,0.47,0.25,58,2010s,en
40,viola,eevee,lofi,melancholic,0.11,78,0.19,0.65,0.97,56,2010s,en
41,Mystery,Dead by April,rock,intense,0.98,93,0.44,0.51,0.0,45,2000s,en
42,就算世界無童話,Janice Vidal,pop,moody,0.42,133,0.31,0.61,0.52,46,2000s,en
43,Running Up That Hill,Our Last Night,rock,dark,0.94,112,0.28,0.5,0.0,56,2010s,en
44,Me Muero Por Estar Contigo,Viti Ruiz,reggaeton,hype,0.73,95,0.84,0.63,0.77,31,2000s,es
45,Close is best,Sail & Weep,lofi,melancholic,0.21,80,0.17,0.81,0.8,46,2000s,en
46,Me and My Husband,Mitski,indie pop,happy,0.64,172,0.77,0.5,0.05,77,2020s,en
47,In the Midnight Hour,Wilson Pickett,rock,romantic,0.44,112,0.85,0.75,0.12,65,2010s,en
48,Valley of the Ravens,Bewitcher,rock,energetic,0.94,109,0.57,0.42,0.01,21,1990s,en
49,劃火柴,Daniel Chan,pop,moody,0.53,136,0.43,0.55,0.46,52,2010s,en
50,和陳五msn,my little airport,pop,happy,0.62,198,0.81,0.24,0.74,30,2000s,en
51,Set You Free,Lucas & Steve,prog-rock,intense,0.93,126,0.43,0.55,0.0,62,2010s,en
52,Elogio à Instituição do Cinismo,Boogarins,rock,intense,0.77,120,0.33,0.48,0.0,27,1990s,en
53,Only in the Dark,Ben Lukas Boysen,ambient,melancholic,0.0,85,0.18,0.1,0.97,49,2000s,en
54,I'LL BE,Mr.Children,rock,intense,0.7,124,0.43,0.55,0.04,32,2000s,en
55,Dibi Dibi Da,Rana Alagöz,rock,happy,0.64,107,0.88,0.58,0.36,33,2000s,en
56,Three Little Birds - Ao Vivo - Chegou Quem Faltava,Charlie Brown Jr.,r&b,energetic,0.7,75,0.65,0.64,0.24,51,2010s,en
57,Where You Belong,Little Dragon,pop,moody,0.44,83,0.36,0.74,0.16,62,2010s,en
58,01000001 01011010 01010010 01000001 00001010,DEHA INC.,rock,moody,0.53,125,0.4,0.66,0.02,40,2000s,en
59,Rotten Apple,Alice In Chains,alt-rock,moody,0.64,147,0.43,0.31,0.21,60,2010s,en
60,Homewards,Groza,rock,dark,0.98,82,0.04,0.14,0.0,22,1990s,en
61,Black Mamba,aespa,pop,energetic,0.92,90,0.5,0.52,0.06,70,2020s,en
62,Dunas,Javiera Mena,synthwave,intense,0.77,120,0.36,0.72,0.15,38,2000s,en
63,Carry On,Jan Blomqvist,synthwave,hype,0.75,123,0.83,0.69,0.05,49,2000s,en
64,Nanbane,Yuvan Shankar Raja,pop,melancholic,0.31,103,0.26,0.45,0.82,59,2010s,en
65,Let's Go (feat. Ne-Yo),Calvin Harris,prog-rock,hype,0.88,128,0.88,0.71,0.01,66,2010s,en
66,銀河鉄道の夜,GING NANG BOYZ,rock,intense,0.79,115,0.41,0.21,0.0,31,2000s,en
67,Head Over Heels / Broken,Tears For Fears,pop,energetic,0.7,95,0.66,0.3,0.19,64,2010s,en
68,Pal Pal Dil Ke Paas - Blackmail / Soundtrack Version,Kishore Kumar,pop,chill,0.47,121,0.5,0.4,0.57,59,2010s,en
69,Steal My Girl,One Direction,pop,energetic,0.77,77,0.55,0.54,0.0,80,2020s,en
70,School Shooters,XXXTENTACION,alt-rock,energetic,0.68,138,0.55,0.77,0.4,57,2010s,en
71,Hasta Ser Libre,OConnor,rock,intense,0.76,124,0.32,0.47,0.0,27,1990s,en
72,Libaas,Kaka,pop,hype,0.75,160,0.91,0.79,0.54,65,2010s,en
73,Soleil,80purppp,lofi,chill,0.48,126,0.46,0.73,0.74,65,2010s,en
74,Reflections,Simon Wester,ambient,melancholic,0.06,114,0.04,0.44,0.97,41,2000s,en
75,Lost In Nothingness,Enigma,ambient,melancholic,0.13,83,0.03,0.16,0.85,39,2000s,en
76,Gündüzüm Seninle,Müzeyyen Senar,rock,melancholic,0.24,125,0.23,0.4,0.97,39,2000s,en
77,愛人有新歡,my little airport,pop,moody,0.53,120,0.51,0.58,0.42,31,2000s,en
78,Don't Wanna Cry,SEVENTEEN,pop,happy,0.68,100,0.72,0.78,0.16,71,2020s,en
79,Pataas Pilla,Sricharan Pakala,indie pop,moody,0.55,150,0.54,0.75,0.28,57,2010s,en
80,ENDLESS RAIN - Remaster,X JAPAN,rock,dark,0.66,78,0.22,0.5,0.02,45,2000s,en
81,Down On Mission Street,Lloyd Cole and the Commotions,pop,moody,0.66,125,0.35,0.58,0.12,26,1990s,en
82,O Futuro É Um Labirinto Pra Quem Não Sabe O Que Quer,Charlie Brown Jr.,rock,hype,0.96,159,0.71,0.52,0.29,39,2000s,en
83,Selfless,The Strokes,alt-rock,dark,0.68,122,0.09,0.54,0.19,71,2020s,en
84,Una Nota,J Balvin,reggaeton,hype,0.79,180,0.71,0.66,0.02,71,2020s,es
85,Não Vai Voltar,Onze:20,rock,happy,0.62,140,0.94,0.64,0.41,53,2010s,en
86,Set It On Fire,My Darkest Days,alt-rock,hype,0.95,182,0.91,0.5,0.0,53,2010s,en
87,I Need You More,Bethel Music,ambient,heartbreak,0.47,130,0.18,0.45,0.01,45,2000s,en
88,Spiriteaux,Tony Anderson,ambient,melancholic,0.04,117,0.04,0.23,0.95,50,2010s,en
89,Crazy Legs,Gene Vincent & His Blue Caps,rock,happy,0.62,170,0.78,0.47,0.52,34,2000s,en
90,Imagine Me & You (feat. FAST BOY),Yves V,prog-rock,intense,0.72,124,0.38,0.79,0.07,59,2010s,en
91,Seek Advice Elsewhere,Off With Their Heads,pop,intense,0.97,102,0.39,0.3,0.0,33,2000s,en
92,Mandaara Poovalle,Yuvan Shankar Raja,pop,hype,0.7,120,0.72,0.83,0.06,45,2000s,en
93,Si Tu Supieras (En Vivo),Giro,reggaeton,energetic,0.78,98,0.68,0.57,0.18,33,2000s,es
94,Veloma,Fabrizio Paterlini,ambient,melancholic,0.12,108,0.22,0.3,0.98,53,2010s,en
95,Teu Sorriso,Rael,reggaeton,happy,0.57,86,0.71,0.66,0.22,51,2010s,es
96,La nuit des fées,Indochine,pop,moody,0.66,84,0.49,0.55,0.0,26,1990s,en
97,Leather And Metal,Cruel Force,rock,energetic,1.0,177,0.61,0.28,0.0,23,1990s,en
98,Only One,Toini & The Tomcats,rock,energetic,0.88,140,0.6,0.34,0.34,25,1990s,en
